post_id,comment_text,channel,timestamp,likes,shares,brand_mentioned,follower_count
P-0001,"Panitia transparan soal hasil voting MVP, gak ada drama.",discord,2026-05-04T18:34:00Z,30,12,false,957
P-0002,"Overlay statistiknya keren pas normal, sayang suka error di momen krusial.",twitter,2026-05-05T07:11:00Z,53,12,false,4766
P-0003,"Sistem seeding-nya masuk akal, gak ada lagi tim kuat ketemu di fase awal doang. di server utama",instagram,2026-05-05T17:13:00Z,57,6,true,2196
P-0004,"Sistem seeding-nya masuk akal, gak ada lagi tim kuat ketemu di fase awal doang. ya",twitter,2026-05-08T10:10:00Z,8,4,true,3088
P-0005,"Panitia komunikatif banget ya, ganti rules H-1 tanpa kabar, keren inisiatifnya.",telegram,2026-05-05T21:55:00Z,71,25,true,749
P-0006,Panitia kurang komunikasi soal perubahan format match H-1 sebelum hari-H. pas fase grup,twitter,2026-05-09T10:24:00Z,30,14,true,6938
P-0007,"Panitia ganti rules mendadak sehari sebelum match, gak ada sosialisasi jelas. (match kemarin) 😭",instagram,2026-05-06T15:08:00Z,39,20,true,3818
P-0008,"Min, requirement device minimum buat ikut kualifikasi apa aja? @admin",telegram,2026-05-04T14:42:00Z,55,2,true,169
P-0009,"Mantap nih war tiket, checkout 45 menit error mulu, pengalaman terbaik pokoknya.",twitter,2026-05-06T13:44:00Z,56,27,false,7968
P-0010,"Overall pengalaman ikut turnamen ini positif, salut buat panitia. 😅",instagram,2026-05-05T11:06:00Z,55,0,true,2077
P-0011,Match hari ini tayang jam berapa ya di jadwal terbaru? deh,twitter,2026-05-09T08:43:00Z,4,8,true,4139
P-0012,"Prize pool-nya emang gede, cuma sayang server-nya masih suka lag pas match penting. deh",twitter,2026-05-07T20:36:00Z,36,9,true,7873
P-0013,"Streaming quality turun drastis begitu penonton makin rame, servernya kurang kuat kayaknya. squad kita",discord,2026-05-07T16:01:00Z,34,17,false,778
P-0014,"Kualitas produksi turnamen ini naik drastis dibanding season lalu, apresiasi tim produksinya. pas semifinal 🔥",telegram,2026-05-09T10:44:00Z,7,9,true,344
P-0015,"Prize pool dan hadiah turnamen makin menarik tiap season, keep it up!...",instagram,2026-05-05T21:25:00Z,55,5,true,3916
P-0016,"Respon admin gercep banget ya, cuma 4 hari baru dibales, keren emang.",twitter,2026-05-08T15:50:00Z,92,16,true,1719
P-0017,"Bracket-nya jelas dan gampang dipahami, rules juga fair buat semua tim.",discord,2026-05-04T16:56:00Z,28,0,true,636
P-0018,"Random question, ada yang punya rekomendasi setting sensitivity buat mobile gak.",discord,2026-05-10T22:29:00Z,42,2,true,264
P-0019,Nonton dari mana ya kalau streaming utamanya penuh? 😭,telegram,2026-05-09T15:21:00Z,59,12,false,851
P-0020,"Proses verifikasi akun peserta ribet banget, dokumen udah lengkap tapi masih ditolak. di server utama",telegram,2026-05-05T11:27:00Z,18,23,true,890
P-0021,"Standar aja pengalamannya, sesuai ekspektasi lah. 🙏",discord,2026-05-09T13:04:00Z,7,11,false,249
P-0022,"Kapan war tiket season depan dibuka, biar bisa siap-siap dari sekarang.",twitter,2026-05-04T19:42:00Z,31,7,true,6437
P-0023,"Standar aja pengalamannya, sesuai ekspektasi lah.",twitter,2026-05-05T23:36:00Z,58,5,true,4162
P-0024,"War tiket kali ini lebih tertib, sistem antrian onlinenya membantu banget.",instagram,2026-05-08T19:16:00Z,49,0,true,1623
P-0025,"GG buat panitia, semua match on time gak ada delay sama sekali.",discord,2026-05-07T16:01:00Z,21,9,true,808
P-0026,"Komunitasnya asik bgt, tapi moderasi di grup official kadang kurang tegas. (match kemarin)",instagram,2026-05-08T19:27:00Z,38,11,false,3004
P-0027,"Hadiahnya oke, cuma pengiriman merchandise-nya suka telat berminggu-minggu.",telegram,2026-05-06T16:55:00Z,16,4,true,808
P-0028,"Venue kece, sound system oke, tapi antrian masuknya berantakan banget gak ada yg atur.",telegram,2026-05-06T21:31:00Z,35,10,true,167
P-0029,Match hari ini tayang jam berapa ya di jadwal terbaru?,instagram,2026-05-06T20:49:00Z,49,12,true,2223
P-0030,"Top markotop jadwalnya, delay 2 jam tanpa kabar, panitia emang totalitas. squad kita",twitter,2026-05-10T09:32:00Z,39,4,true,1794
P-0031,"Top markotop jadwalnya, delay 2 jam tanpa kabar, panitia emang totalitas.",twitter,2026-05-10T09:53:00Z,87,2,true,6500
P-0032,"Venue-nya kepanasan banget, AC-nya kayak gak nyala, ganggu konsentrasi main. (match kemarin)",discord,2026-05-07T23:38:00Z,38,27,false,793
P-0033,"MC-nya profesional banget, salah nama tim 5 kali dalam satu segmen, mantap. di server utama sih",twitter,2026-05-05T15:28:00Z,84,17,true,1611
P-0034,"Overlay statistiknya keren pas normal, sayang suka error di momen krusial.",discord,2026-05-09T18:10:00Z,37,9,true,551
P-0035,"MC-nya profesional banget, salah nama tim 5 kali dalam satu segmen, mantap. sih",telegram,2026-05-06T23:33:00Z,60,25,false,648
P-0036,"War tiket kemarin lancar banget, langsung dapet slot buat squad gw. GG admin! squad kita",telegram,2026-05-05T07:00:00Z,53,10,true,377
P-0037,"Titip promo dikit, warung aku buka giveaway topup ya, cek bio.",telegram,2026-05-13T16:14:00Z,52,5,true,494
P-0038,"Overall pengalaman ikut turnamen ini positif, salut buat panitia.",telegram,2026-05-11T12:32:00Z,35,7,true,506
P-0039,"Interaksi admin di grup official ramah dan informatif, betah nanya-nanya....",instagram,2026-05-17T23:46:00Z,48,10,true,1199
