format,event,content
whatsapp,Nexus Cup Mobile Legends Season 3,"🔥 WAR TIKET NEXUS CUP MLBB SEASON 3 DIMULAI! 🔥

Warriors, siap-siap push rank ke level turnamen! Nexus Cup MLBB Season 3 resmi dibuka!

🎮 Format: 5v5 Single Elimination
🏆 Prize Pool: Rp15.000.000
📅 Registrasi: 1-10 Agustus 2026
📅 Match Day: 15-17 Agustus 2026
💳 Biaya Daftar: Rp150.000/tim

Slot terbatas cuma 32 tim, war tiket sekarang sebelum kehabisan!
Daftar squad kamu di [LINK DAFTAR] 🚨"
discord_telegram,Nexus Cup Mobile Legends Season 3,"**📢 PENGUMUMAN RESMI - NEXUS CUP MLBB SEASON 3**

Halo Warriors!

Buat kalian yang udah nunggu momen ini, Nexus Cup MLBB Season 3 resmi dibuka pendaftarannya mulai 1 sampai 10 Agustus 2026. Match Day sendiri bakal digelar tanggal 15-17 Agustus, jadi siapin jadwal kalian dari sekarang.

Turnamen ini pakai format 5v5 single elimination, dengan sistem Bo3 khusus di Grand Final biar makin seru. Total prize pool yang diperebutkan tembus **Rp15.000.000** - lumayan gede buat modal war berikutnya.

Rules lengkap & bracket bisa dicek di channel #rules setelah pendaftaran ditutup. Ada kendala teknis atau pertanyaan? Langsung mention admin di sini ya.

GG in advance, Warriors! 🏆"
twitter_thread,Nexus Cup Mobile Legends Season 3,"1/ 🚨 NEXUS CUP MLBB SEASON 3 resmi dibuka! Prize pool Rp15.000.000 nunggu squad terbaik. Yuk cek 👇

2/ Pendaftaran cuma sampai 10 Agustus, match day tanggal 15-17 Agustus. Slot cuma 32 tim, jangan sampe kelewatan.

3/ Daftar sekarang di [LINK DAFTAR] sebelum war tiket ditutup 🔥 #NexusCube #EsportsIndonesia"
instagram_caption,Nexus Cup Mobile Legends Season 3,"Musim baru, tantangan baru 🔥⚔️

Nexus Cup MLBB Season 3 resmi membuka pintu buat squad-squad terbaik unjuk gigi. Total hadiah Rp15.000.000 udah nunggu buat direbut, dengan format single elimination yang bikin setiap match berasa hidup-mati.

Pendaftaran dibuka sampai 10 Agustus, match day berlangsung 15-17 Agustus. Waktunya kumpulin squad, atur strategi, dan buktiin siapa yang pantas jadi juara musim ini.

Link daftar ada di bio, jangan sampe War Tiket kelewatan 🚀

#NexusCube #NexusCup #MLBBTournament #EsportsIndonesia"
whatsapp,Nexus Cube Valorant Showdown,"⚔️ VALORANT SHOWDOWN BY Nexus Cube! ⚔️

Squad, ini saatnya adu strategi dan aim di Valorant Showdown!

🎮 Format: 5v5 Bo1 (Bo3 Semifinal & Final)
🏆 Prize Pool: Rp10.000.000
📅 Match Day: 22-23 Agustus 2026
💳 Biaya Daftar: Rp100.000/tim

Cari lawan sepadan? Ini panggungnya. Daftar sekarang di [LINK DAFTAR] sebelum slot penuh! 💥"
discord_telegram,Nexus Cube Valorant Showdown,"**📢 PENGUMUMAN - VALORANT SHOWDOWN BY NEXUS CUBE**

Halo Squad!

Buat kalian yang jago strategi dan aim, Valorant Showdown resmi dibuka. Match Day bakal berlangsung 22-23 Agustus 2026, dengan format Bo1 di fase grup dan naik ke Bo3 pas semifinal & final biar makin sengit.

Total prize pool yang diperebutkan **Rp10.000.000** - worth it banget buat squad yang serius kompetisi.

Info map pool dan rules detail akan di-pin di channel ini H-3 sebelum match day. Kalau ada masalah teknis pas hari-H, langsung report ke admin on-duty ya!

Let's get that ace, Squad! 🎯"
twitter_thread,Nexus Cube Valorant Showdown,"1/ ⚔️ VALORANT SHOWDOWN BY NEXUS CUBE resmi dibuka! Prize pool Rp10.000.000 nunggu tim terbaik.

2/ Match Day 22-23 Agustus, format Bo1 fase grup naik ke Bo3 di semifinal & final.

3/ Daftar sekarang di [LINK DAFTAR], slot terbatas! Let's get that ace 🎯 #NexusCube #ValorantIndonesia"
instagram_caption,Nexus Cube Valorant Showdown,"Strategi, aim, dan mental baja - semua diuji di sini ⚔️

Valorant Showdown by Nexus Cube ngajak squad-squad terbaik buat buktiin siapa yang paling siap naik level. Match Day berlangsung 22-23 Agustus, dengan format yang makin ketat begitu masuk semifinal.

Total hadiah Rp10.000.000 nunggu buat direbut. Cari lawan sepadan? Ini panggungnya.

Daftar sekarang, link ada di bio 🎯

#NexusCube #ValorantShowdown #ValorantIndonesia #EsportsIndonesia"
whatsapp,Nexus Cube Free Fire Booyah Series,"Yo Squad! 🔥 Ada kabar gede nih dari Nexus Cube.

BOOYAH SERIES resmi balik lagi musim ini, dan kali ini hadiahnya paling gede sepanjang sejarah kita.

🔫 Format: Squad (4 orang), Battle Royale 3 map
🏆 Total Hadiah: Rp25.000.000
🗓️ War Tiket: 5-8 September 2026
🎮 Match Day: 14-15 September 2026
💸 Biaya Daftar: Rp120.000/squad

Yang mau ikutan buruan gerak, war tiket bakal ramai kayak biasa. Klik [LINK DAFTAR] buat amankan slot squad kamu 🏃‍♂️💨"
discord_telegram,Nexus Cube Free Fire Booyah Series,"**🎮 INFO RESMI - BOOYAH SERIES BY NEXUS CUBE**

Halo Squad,

Season baru Booyah Series udah di depan mata, dan ini yang terbesar sepanjang sejarah kita - total hadiah tembus **Rp25.000.000**. War tiket dibuka 5-8 September, sementara Match Day sendiri berlangsung 14-15 September 2026.

Formatnya tetap squad 4 orang dengan battle royale 3 map, jadi siapin strategi rotasi zona dari sekarang.

Peta dan aturan rotasi zona bakal di-share H-2 sebelum match day di channel #rules. Kalau ada kendala pas war tiket, langsung lapor ke admin on-duty, jangan panik dulu.

Semangat war tiket-nya, Squad! Booyah! 🔥"
