post_id,comment_text,channel,timestamp,likes,shares,brand_mentioned,follower_count
P-E0001,"Venue offline kemarin sempit banget, sumpek pas nonton match exhibition-nya.",discord,2026-07-03T12:12:00Z,77,11,true,1083
P-E0002,"Sesi meet & greet-nya terorganisir rapi, gak ada dorong-dorongan sama sekali.",telegram,2026-07-06T18:49:00Z,27,0,true,356
P-E0003,"Booth makanan di lokasi kurang banyak, antriannya panjang bener. (match kemarin) woy",instagram,2026-07-05T14:39:00Z,58,22,true,2186
P-E0004,"Seru banget bisa mabar langsung sama idola, next bikin acara kayak gini lagi ya! tim gw",twitter,2026-07-06T20:18:00Z,22,0,true,6540
P-E0005,"Sistem check-in QR code-nya cepet, gak perlu antre lama buat masuk venue. woy",twitter,2026-07-01T22:54:00Z,30,4,true,2325
P-E0006,"Min, besok-besok sewa gedung yang lebih gede dong, parkirannya susah.",instagram,2026-07-01T18:32:00Z,77,30,false,2697
P-E0007,Live music pengisi acara sebelum grand final bikin suasana makin meriah. (match kemarin),telegram,2026-07-06T22:37:00Z,37,6,true,511
P-E0008,"Fanmeet sama pemain official-nya berkesan banget, mereka ramah semua.",telegram,2026-07-01T08:23:00Z,59,2,true,503
P-E0009,Games interaktif buat penonton di sela jeda match seru dan hadiahnya lumayan.,twitter,2026-07-07T15:24:00Z,58,10,true,2322
P-E0010,Kapan buka lowongan volunteer buat event offline berikutnya? squad kita...,instagram,2026-07-01T21:06:00Z,41,7,false,2207
P-E0011,Ada info buat merchandise resminya dijual online nggak? Kemarin kehabisan.,telegram,2026-07-03T10:32:00Z,3,0,false,561
P-E0012,"Seru banget bisa mabar langsung sama idola, next bikin acara kayak gini lagi ya! ya",twitter,2026-07-05T17:50:00Z,56,7,false,3046
P-E0013,"Kecewa acara meet & greet dipotong waktunya, padahal udah nunggu lama. sih",discord,2026-07-05T19:33:00Z,34,14,true,1049
P-E0014,Random tapi siapa yg kemarin foto bareng cosplayer di booth A? squad kita,instagram,2026-07-05T15:44:00Z,46,7,true,3472
P-E0015,Boleh tau venue selanjutnya di kota mana ya min? 😭,twitter,2026-07-05T19:03:00Z,12,4,true,6222
P-E0016,Ada area khusus buat komunitas/fanbase daftar booth gak min? sih,telegram,2026-07-02T21:26:00Z,60,10,true,712
P-E0017,"Seru bgt bisa mabar langsung sama idola, next bikin acara kayak gini lagi ya!",twitter,2026-07-03T09:22:00Z,59,9,true,5121
P-E0018,Rute transportasi umum paling gampang ke venue lewat mana ya? 😭,discord,2026-07-05T21:54:00Z,52,9,true,835
P-E0019,Ada info buat merchandise resminya dijual online nggak? Kemarin kehabisan.,instagram,2026-07-01T16:31:00Z,46,8,true,1960
P-E0020,"Booth makanan enak-enak, tapi antriannya bikin capek nunggu lama banget. sih",twitter,2026-07-05T18:38:00Z,4,1,true,7005
P-E0021,"Konsumsi gratis buat peserta lomba cukup dan rasanya enak, apresiasi panitia.",discord,2026-07-06T08:01:00Z,52,10,true,1130
P-E0022,"Sound system oke pas awal, tapi pecah pas momen final, sayang banget.",twitter,2026-07-02T22:06:00Z,43,5,false,6859
P-E0023,"Seru banget bisa mabar langsung sama idola, next bikin acara kayak gini lagi ya! sih",instagram,2026-07-07T20:10:00Z,59,7,true,1806
P-E0024,Boleh bawa kamera profesional sendiri gak buat dokumentasi pribadi?,twitter,2026-07-03T21:21:00Z,10,9,true,6362
P-E0025,"MC dan host acaranya interaktif banget, penonton jadi ikut hype terus. di server utama",discord,2026-07-01T19:15:00Z,27,5,true,820
P-E0026,"Konsumsi gratis buat peserta lomba cukup dan rasanya enak, apresiasi panitia....",instagram,2026-07-06T15:21:00Z,12,1,true,2825
P-E0027,Lighting panggung sama sound system-nya juara! Vibe turnamennya dapet banget. squad kita,telegram,2026-07-04T19:18:00Z,49,10,true,410
P-E0028,Lighting panggung sama sound system-nya juara! Vibe turnamennya dapet banget.,discord,2026-07-02T14:58:00Z,31,5,false,351
